identifier,stage,error
XAXBEF11,missing_smiles,No SMILES available
XAXBEF12,missing_smiles,No SMILES available
XAXBEF13,missing_smiles,No SMILES available
XAXBEF14,missing_smiles,No SMILES available
XAXBEF15,missing_smiles,No SMILES available
XAXBEF16,missing_smiles,No SMILES available
XAXBEF17,missing_smiles,No SMILES available
XEGHEW,smiles_parse,RDKit could not parse SMILES
XEGTUZ,smiles_parse,RDKit could not parse SMILES
XEHPEF,smiles_parse,RDKit could not parse SMILES
XEYLEV,smiles_parse,RDKit could not parse SMILES
XEYLIZ,smiles_parse,RDKit could not parse SMILES
XOFCAW,missing_smiles,No SMILES available
XUMLOG,missing_smiles,No SMILES available
XUZZAX,missing_smiles,No SMILES available
XUZZEB,missing_smiles,No SMILES available
YASKOT,missing_smiles,No SMILES available
YEJMEF,smiles_parse,RDKit could not parse SMILES
YETREU,smiles_parse,RDKit could not parse SMILES
YIHJAE,smiles_parse,RDKit could not parse SMILES
YIHJEI,smiles_parse,RDKit could not parse SMILES
YIMVUO01,smiles_parse,RDKit could not parse SMILES
YINWEZ,smiles_parse,RDKit could not parse SMILES
YIPMIW,missing_smiles,No SMILES available
YOTYAL,smiles_parse,RDKit could not parse SMILES
YOTYEP,smiles_parse,RDKit could not parse SMILES
YOVPEF,smiles_parse,RDKit could not parse SMILES
YUHJOA,smiles_parse,RDKit could not parse SMILES
YUQCEV,smiles_parse,RDKit could not parse SMILES
YUQCIZ,smiles_parse,RDKit could not parse SMILES
YUSKEG01,smiles_parse,RDKit could not parse SMILES
ZAVGAE,missing_smiles,No SMILES available
ZAWJUG,smiles_parse,RDKit could not parse SMILES
ZUSVES,smiles_parse,RDKit could not parse SMILES
ZZZPUS09,smiles_parse,RDKit could not parse SMILES
ZZZVLI02,smiles_parse,RDKit could not parse SMILES
ZZZVLI03,smiles_parse,RDKit could not parse SMILES
ZZZVLI04,smiles_parse,RDKit could not parse SMILES
ZZZVLI05,smiles_parse,RDKit could not parse SMILES
ZZZVLI06,smiles_parse,RDKit could not parse SMILES
ZZZVLI07,smiles_parse,RDKit could not parse SMILES
ZZZVLI08,smiles_parse,RDKit could not parse SMILES
