refcode,component_refcode,component_index,smiles,HBD,HBA,logP,MW
ABEKUN06,ABEKUN06_2,2,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN07,ABEKUN07_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABEKUN07,ABEKUN07_2,2,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN08,ABEKUN08_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABEKUN08,ABEKUN08_2,2,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABELAU,ABELAU_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABELAU,ABELAU_2,2,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELAU01,ABELAU01_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABELAU01,ABELAU01_2,2,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELAU02,ABELAU02_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABELAU02,ABELAU02_2,2,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELAU03,ABELAU03_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABELAU03,ABELAU03_2,2,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELAU04,ABELAU04_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABELAU04,ABELAU04_2,2,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELAU05,ABELAU05_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABELAU05,ABELAU05_2,2,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELAU06,ABELAU06_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABELAU06,ABELAU06_2,2,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1,0,4,4.715200000000004,364.16879664000004
ABELIC,ABELIC_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABELIC,ABELIC_2,2,c1ccc(C=Cc2ccccn2)nc1,0,2,2.6470000000000002,182.08439832
ABELUP,ABELUP_1,1,Oc1c(cc(cc1N(=O)=O)N(=O)=O)C(=O)[O-],1,7,-0.4278999999999997,226.99457401591002
ABELUP,ABELUP_2,2,NC1=[NH+]C=NC2=C1N=CN2C1OC(CO)C(O)C1O,4,8,-2.5608999999999997,268.10403034809
ABEMAW,ABEMAW_1,1,O=P([O-])[O-],0,3,-1.9033000000000002,79.96742768182001
ABEMAW,ABEMAW_2,2,[NH2+]1CC[NH2+]CC1,2,0,-2.873199999999998,88.09895122417998
ABEMAW,ABEMAW_3,3,[NH2+]1CC[NH2+]CC1,2,0,-2.873199999999998,88.09895122417998
ABEMAW,ABEMAW_5,5,[H],0,0,0.1125,1.007825032
ABEMAW,ABEMAW_6,6,[H],0,0,0.1125,1.007825032
