identifier,smiles,HBD,HBA,logP,MW
ACSALA13,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA14,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA15,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA17,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA19,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA20,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA21,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA23,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA24,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA25,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA26,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA27,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA28,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA29,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA31,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA32,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA33,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA34,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA35,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA38,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA39,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA40,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA41,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA42,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA43,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA44,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACTART10,CC(=O)OCC[N+](C)(C)C,0,2,0.25570000000000004,146.11755517209
ACTART11,CC(=O)OCC[N+](C)(C)C,0,2,0.25570000000000004,146.11755517209
ACTDGU10,CC(C)C1NC(=O)C(NC(=O)c2ccc(C)c3OC4=C(C)C(=O)C(=C(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)C4=Nc23)N)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C2CCCN2C1=O,5,18,0.7256400000000023,1254.6284746719998
ACTYSN,CC(=O)NC(Cc1ccc(O)cc1)C(O)=O,3,3,0.5239999999999998,223.084457896
ACUDAG,NNC(=O)c1ccncc1,2,3,-0.3149000000000006,137.058911844
ACUDEK,NNC(=O)c1ccncc1,2,3,-0.3149000000000006,137.058911844
ACUDEK01,NNC(=O)c1ccncc1,2,3,-0.3149000000000006,137.058911844
ACUDIO,OC(=O)c1ccc(cc1)N(=O)=O,1,3,1.293,167.02185764
ACXMAC,CC(=O)NO,2,2,-0.4882999999999999,75.0320284
ADAJAT,NC1=NC(=O)NC=C1F,2,3,-0.5088000000000001,129.033839968
ADAJAT01,NC1=NC(=O)NC=C1F,2,3,-0.5088000000000001,129.033839968
ADALEW,Cc1cc2Cc3cc(C)cc(c3OP(=O)([O-])Oc2c(c1)C(C)(C)C)C(C)(C)C,0,4,5.728840000000006,401.18871964990996
ADBURM,Nc1ncnc2N(C=Nc12)C1OC(CO)C(O)C1O,4,9,-1.9799999999999998,267.096753896
ADEDIX,Nc1ccc(cc1)S(=O)(=O)N=C1NC=CS1,2,4,0.9479999999999997,255.013618528
ADEDIX01,Nc1ccc(cc1)S(=O)(=O)N=C1NC=CS1,2,4,0.9479999999999997,255.013618528
ADEDIX02,Nc1ccc(cc1)S(=O)(=O)N=C1NC=CS1,2,4,0.9479999999999997,255.013618528
ADEFOF,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl,3,5,-0.35129999999999945,296.964475416
ADENBH,Nc1[nH+]cnc2NC=Nc12,2,3,-0.6458000000000004,136.06177161208998
ADENCH,Nc1[nH+]cnc2NC=Nc12,2,3,-0.6458000000000004,136.06177161208998
ADENCH01,Nc1[nH+]cnc2NC=Nc12,2,3,-0.6458000000000004,136.06177161208998
ADENCH02,Nc1[nH+]cnc2NC=Nc12,2,3,-0.6458000000000004,136.06177161208998
ADENCH03,Nc1[nH+]cnc2NC=Nc12,2,3,-0.6458000000000004,136.06177161208998
ADENCH04,Nc1[nH+]cnc2NC=Nc12,2,3,-0.6458000000000004,136.06177161208998
ADENDH,Nc1[nH+]cnc2NC=[NH+]c12,2,2,-1.2267000000000006,137.06904806417998
ADENDH02,Nc1[nH+]cnc2NC=[NH+]c12,2,2,-1.2267000000000006,137.06904806417998
ADENDH03,Nc1[nH+]cnc2NC=[NH+]c12,2,2,-1.2267000000000006,137.06904806417998
ADENDH04,NC1=C2[NH+]=CNC2=NC=[NH+]1,2,2,-1.2267000000000006,137.06904806417998
ADENIJ,C[NH+](C)CCOC(c1ccccc1)c1ccccc1,1,1,1.9371000000000003,256.16959074409
ADENOH10,Nc1[nH+]cnc2NC=Nc12,2,3,-0.6458000000000004,136.06177161208998
ADENOP,CN(C)C(=[NH2+])N=C(N)N,3,0,-3.0634999999999986,130.10872180408998
ADENOS01,NC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,4,9,-1.9800000000000006,267.096753896
ADENOS10,Nc1ncnc2N(C=Nc12)C1OC(CO)C(O)C1O,4,9,-1.9799999999999998,267.096753896
ADENOS11,NC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,4,9,-1.9800000000000006,267.096753896
ADENOS12,NC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,4,9,-1.9800000000000006,267.096753896
ADENOS13,Nc1ncnc2N(C=Nc12)C1OC(CO)C(O)C1O,4,9,-1.9799999999999998,267.096753896
ADENOS14,Nc1ncnc2N(C=Nc12)C1OC(CO)C(O)C1O,4,9,-1.9799999999999998,267.096753896
ADENPH,Nc1[nH+]cnc2NC=Nc12,2,3,-0.6458000000000004,136.06177161208998
ADENSL,Nc1[nH+]cnc2NC=[NH+]c12,2,2,-1.2267000000000006,137.06904806417998
ADEQUW,c1cnc2c(c1)ccc1cccnc21,0,2,2.7830000000000004,180.068748256
ADEQUW01,c1cnc2c(c1)ccc1cccnc21,0,2,2.7830000000000004,180.068748256
ADERUX,O=C([O-])c1ccc(nc1)C(=O)[O-],0,5,-2.1914,165.00730473582001
ADESUL,Nc1[nH+]cnc2NC=Nc12,2,3,-0.6458000000000004,136.06177161208998
ADOSBU,Nc1ncnc2N(C=Nc12)C1OC(CO)C(O)C1O,4,9,-1.9799999999999998,267.096753896
ADOSBU01,Nc1ncnc2N(C=Nc12)C1OC(CO)C(O)C1O,4,9,-1.9799999999999998,267.096753896
ADOSHC,Nc1[nH+]cnc2N(C=Nc12)C1OC(CO)C(O)C1O,4,8,-2.560899999999999,268.10403034809
ADPAPF10,Nc1ncnc2N(C=Nc12)C1OC(COP(O)(=O)OC2C(O)C(OC2CO)N2C=Nc3c(N)ncnc23)C(O)C1O,7,19,-2.7973999999999983,596.1492736300002
ADPOSM,NC1=[NH+]C=NC2=C1N=CN2C1OC(COP([O])(=O)[O-])C(O)C1O,3,10,-2.6376999999999993,346.05525938599993
ADPOSM01,NC1=[NH+]C=NC2=C1N=CN2C1OC(COP([O])(=O)[O-])C(O)C1O,3,10,-2.6376999999999993,346.05525938599993
ADPOSM02,Nc1[nH+]cnc2N(C=Nc12)C1OC(COP(O)(=O)[O-])C(O)C1O,4,10,-3.0758999999999994,347.0630844179999
ADPOSM03,Nc1[nH+]cnc2N(C=Nc12)C1OC(COP(O)(=O)[O-])C(O)C1O,4,10,-3.0758999999999994,347.0630844179999
ADPRFS10,Nc1[nH+]cnc2N(C=Nc12)C1OC(CO)C(O)C1O,4,8,-2.560899999999999,268.10403034809
ADRBFT10,Cc1cc2N=C3C(=O)NC(=O)N=C3N(CC(O)C(O)C(O)CO)c2cc1C,5,9,-1.7235599999999989,376.13828435999994
ADRENL,C[NH2+]CC(O)c1ccc(O)c([O-])c1,3,3,-1.3075999999999997,183.089543276
ADRTAR,C[NH2+]CC(O)c1ccc(O)c(O)c1,4,3,-0.6755999999999998,184.09681972809
ADUQEZ,N#Cc1ccc(C=Cc2ccc(cc2)C#N)cc1,0,2,3.600360000000002,230.08439832
AEDTAH,OC(=O)C[NH+](CC[NH+](CC(O)=O)CC(=O)[O-])CC(=O)[O-],4,6,-7.574800000000003,292.09066547199996
AETHRE,[NH3+]C(C(C)O)C(=O)[O-],2,3,-3.272399999999999,119.058243148
AFAJOK,CC[NH+]1CCN(CC1)c1cc2N(C=C(C(O)=O)C(=O)c2cc1F)C1CC1,2,4,0.8985000000000003,360.17179623609
AFEDIY,Clc1cc(ccc1C(=O)[O-])N(=O)=O,0,4,0.6116999999999999,199.97560883591
AFEDOE,Clc1ccc(cc1C(=O)[O-])N(=O)=O,0,4,0.6116999999999999,199.97560883591
AFEDUK,Clc1ccc(c(c1)C(=O)[O-])N(=O)=O,0,4,0.6116999999999999,199.97560883591
AFEFAS,Clc1ccc(C(=O)[O-])c(c1)N(=O)=O,0,4,0.6116999999999997,199.97560883591
AFEMIJ,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0,6,-1.0293,194.08037556
AFEMUW,OC(C[NH+](CC(O)=O)CC(O)=O)C[NH+](CC(O)=O)CC(=O)[O-],6,6,-6.8792000000000035,323.10850660809
AFEQEJ,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0,6,-1.0293,194.08037556
AFEQIN,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0,6,-1.0293,194.08037556
AFEQOT,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0,6,-1.0293,194.08037556
AFEQUZ,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0,6,-1.0293,194.08037556
AFERAG,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0,6,-1.0293,194.08037556
AFEREK,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0,6,-1.0293,194.08037556
AFESOU,CCc1[nH+]c(N)nc(N)c1c1ccc(Cl)cc1,2,3,1.9429,249.09015054808998
AFEVOX,C[NH2+]CCCN1c2ccccc2CCc2ccccc12,1,1,2.5066000000000006,267.18557515609
AFICAX,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC12C)c1ccc(cc1)N(C)C,1,3,5.406500000000006,429.26677936000004
AFIGED,C1CNCCN1,2,2,-0.8208,86.08439831999999
AFIREO,Fc1ccc(cc1)C(N1CC[NH+](CC1)CC=Cc1ccccc1)c1ccc(F)cc1,1,1,3.9681000000000033,405.21368172409
AFIRIU,NC(=O)N1c2ccccc2C=Cc2ccccc12,1,1,3.3872000000000018,236.094963004
AFIROA,NC(=O)N1c2ccccc2C=Cc2ccccc12,1,1,3.3872000000000018,236.094963004
AFIXOG,NC1=NC(=O)N(C=C1F)C1CSC(CO)O1,2,7,-0.45500000000000024,247.0426904
AFIXUM,NC1=NC(=O)N(C=C1F)C1CSC(CO)O1,2,7,-0.45500000000000024,247.0426904
AFIYAT,NC1=NC(=O)N(C=C1F)C1CSC(CO)O1,2,7,-0.45500000000000024,247.0426904
AFIYEX,NC1=NC(=O)N(C=C1F)C1CSC(CO)O1,2,7,-0.45500000000000024,247.0426904
AFIYIB,NC1=NC(=O)N(C=C1F)C1CSC(CO)O1,2,7,-0.45500000000000024,247.0426904
AFIYOG,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
AFIYOH,NC1=NC(=O)N(C=C1F)C1CSC(CO)O1,2,7,-0.45500000000000024,247.0426904
AFIYUM,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
AFIZAT,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
AFIZIB,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
AFIZOH,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
AFIZUN,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
AFOBEF,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
AFOGOU,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
AFOGOU01,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
AFOGOU02,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
AFOGOU03,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
AFOGOU04,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
AFOGOU05,O=S(=O)([O-])c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],0,9,3.3999000000000024,542.9894657997298
