identifier,logp_crippen,mol_weight,hb_donors,hb_acceptors,smiles
LATTOR01,-0.48869999999999947,241.069870452,3,5,OC(=O)CCC(O)=O.NC(=O)c1cnccn1
LAURAC,3.991900000000002,200.177630008,1,1,CCCCCCCCCCCC(O)=O
LAURAC04,3.991900000000002,200.177630008,1,1,CCCCCCCCCCCC(O)=O
LAURAC05,3.991900000000002,200.177630008,1,1,CCCCCCCCCCCC(O)=O
LAVQAB,-1.8279999999999985,245.08341234,3,3,CCc1ccc(cc1)S(=O)(=O)[O-].NC(N)=[NH2+]
LAVQEF,-1.4378999999999982,259.099062404,3,3,CCCc1ccc(cc1)S(=O)(=O)[O-].NC(N)=[NH2+]
LAVQOP,0.12250000000000266,315.1616626600001,3,3,CCCCCCCc1ccc(cc1)S(=O)(=O)[O-].NC(N)=[NH2+]
LAVROQ,2.1796000000000006,405.20861285200004,3,3,CCCCCCCCc1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-].NC(N)=[NH2+]
LAVRUW,2.959800000000001,433.23991298000004,3,3,CCCCCCCCCCc1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-].NC(N)=[NH2+]
LAVRUW01,2.959800000000001,433.23991298000004,3,3,CCCCCCCCCCc1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-].NC(N)=[NH2+]
LAWKIE,-1.9187999999999967,273.06709358000006,4,5,[NH3+]C(CS)C(=O)[O-].OC(C(O)=O)c1ccccc1
LAYCET,0.08319999999999972,194.06914218,3,3,Nc1ccc(cc1)C(=O)NCC(O)=O
LAYCET01,0.08319999999999972,194.06914218,3,3,Nc1ccc(cc1)C(=O)NCC(O)=O
LCITHC,-4.865999999999998,211.072368988,4,2,[Cl-].[NH3+]C(CCCNC(N)=O)C(O)=O
LCITHC01,-4.865999999999998,211.072368988,4,2,[Cl-].[NH3+]C(CCCNC(N)=O)C(O)=O
LCYSCC,-9.883400000000004,347.9983336559999,4,4,[Cl-].[Cl-].[NH3+]C(CSSCC([NH3+])C(O)=O)C(O)=O.O.O
LCYSTI10,-4.911399999999999,240.023848864,2,6,[NH3+]C(CSSCC([NH3+])C(=O)[O-])C(=O)[O-]
LCYSTI11,-4.911399999999999,240.023848864,2,6,[NH3+]C(CSSCC([NH3+])C(=O)[O-])C(=O)[O-]
LCYSTI12,-4.911399999999999,240.023848864,2,6,[NH3+]C(CSSCC([NH3+])C(=O)[O-])C(=O)[O-]
