identifier,logp_crippen,mol_weight,hb_donors,hb_acceptors,smiles
PEHZAE,10.199219999999995,976.5598043120001,8,8,Cc1cccc(Cl)c1Cl.CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
PEHZEI,9.455110000000003,985.540436052,8,8,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.Cc1[c]cccc1Br
PEHZIM,5.334340000000005,529.376723732,5,5,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.Cc1cccc(N)c1C
PEHZOS,6.060560000000008,528.381474764,4,4,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.Cc1ccc(C)c(C)c1
PEHZUY,3.4487000000000023,408.28757437999997,4,4,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
PEJBAI,6.75052000000001,568.272229932,4,4,Cc1ccc(Cl)cc1Cl.CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
PEJBEM,6.75052000000001,568.272229932,4,4,Cc1ccc(Cl)c(Cl)c1.CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
PEJBIQ,6.514640000000008,592.276336768,4,4,Cc1ccc(Br)cc1C.CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
PEJBOW,11.56765999999999,904.679219904,6,6,CC(CCC(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C.CC(CCC(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C.Cc1cccc(C)c1C
PEJVAE,-3.8979999999999926,298.21038668,2,6,C[N+](C)(C)CCO.C[N+](C)(C)CCO.O=C[O-].O=C[O-]
PEKFAN,4.029500000000003,296.177630008,0,2,CC12CCC3C(CC(=C)C4=CC(=O)C=CC34C)C1CCC2=O
PEKFAN01,4.029500000000003,296.177630008,0,2,CC12CCC3C(CC(=C)C4=CC(=O)C=CC34C)C1CCC2=O
